pid,Placed,Package
198403,No,0
198404,No,0
198405,No,0
198406,No,0
198407,Yes,3
198408,No,0
198409,No,0
198410,Yes,4
198411,No,0
198412,No,0
198413,No,0
198414,No,0
198415,No,0
198416,Yes,3
198417,No,0
198418,No,0
198419,No,0
198420,No,0
198421,No,0
198422,Yes,4
198423,Yes,4
198424,Yes,5
198425,No,0
198426,Yes,5
198427,No,0
198428,Yes,3
198429,Yes,4
198430,No,0
198431,No,0
198432,No,0
198433,No,0
198434,No,0
198435,No,0
198436,Yes,3
198437,Yes,4
198438,No,0
198439,No,0
198440,Yes,5
198441,Yes,3
198442,No,0
198443,No,0
198444,Yes,3
198445,No,0
198446,No,0
198447,No,0
198448,No,0
198449,Yes,3
198450,No,0
198451,Yes,3
198452,Yes,5
198453,Yes,3
198454,No,0
198455,No,0
198456,Yes,4
198457,Yes,3
198458,No,0
198459,Yes,4
198460,Yes,3
198461,Yes,4
198462,No,0
198463,Yes,5
198464,No,0
198465,Yes,3
198466,No,0
198467,No,0
198468,No,0
198469,Yes,3
198470,No,0
198471,No,0
198472,No,0
198473,No,0
198474,No,0
198475,No,0
198476,No,0
198477,No,0
198478,No,0
198479,Yes,3
198480,Yes,5
198481,No,0
198482,No,0
198483,Yes,5
198484,Yes,3
198485,No,0
198486,No,0
198487,Yes,3
198488,Yes,4
198489,No,0
198490,No,0
198491,Yes,4
198492,No,0
198493,Yes,4
198494,Yes,3
198495,No,0
198496,No,0
198497,No,0
198498,No,0
198499,No,0
198500,Yes,4
198501,Yes,5
198502,No,0
198503,No,0
198504,No,0
198505,No,0
198506,Yes,3
198507,No,0
198508,Yes,5
198509,No,0
198510,No,0
198511,No,0
198512,Yes,3
198513,Yes,4
198514,No,0
198515,No,0
198516,No,0
198517,No,0
198518,No,0
198519,No,0
198520,No,0
198521,No,0
198522,Yes,7
198523,Yes,3
198524,No,0
198525,No,0
198526,No,0
198527,No,0
198528,Yes,5.5
198529,Yes,3
198530,No,0
198531,Yes,5
198532,No,0
198533,No,0
198534,No,0
198535,Yes,5
198536,No,0
198537,No,0
198538,No,0
198539,Yes,5
198540,No,0
198541,Yes,4
198542,No,0
198543,No,0
198544,Yes,3
198545,No,0
198546,No,0
198547,No,0
198548,Yes,3
198549,Yes,5
198550,No,0
198551,Yes,5
198552,No,0
198553,No,0
198554,Yes,3
198555,No,0
198556,No,0
198557,No,0
198558,Yes,3
198559,Yes,3
198560,No,0
198561,No,0
198562,Yes,3
198563,No,0
198564,Yes,4
198565,No,0
198566,No,0
198567,No,0
198568,No,0
198569,Yes,3
198570,Yes,4
198571,No,0
198572,No,0
198573,Yes,3
198574,Yes,5
198575,No,0
198576,No,0
198577,No,0
198578,Yes,5
198579,No,0
198580,No,0
198581,No,0
198582,No,0
198583,No,0
198584,No,0
198585,No,0
198586,Yes,4
198587,Yes,13
198588,No,0
198589,No,0
198590,Yes,3
198591,No,0
198592,No,0
198593,No,0
198594,Yes,3
198595,No,0
198596,Yes,4
198597,No,0
198598,No,0
198599,Yes,3
198600,Yes,5.5
198601,No,0
198602,No,0
198603,No,0
198604,No,0
198605,Yes,3
198606,No,0
198607,Yes,3
198608,No,0
198609,No,0
198610,Yes,3
198611,Yes,4
198612,No,0
198613,No,0
198614,Yes,4
198615,No,0
198616,No,0
198617,Yes,3
198618,No,0
198619,No,0
198620,Yes,4
198621,Yes,4
198622,Yes,4
198623,No,0
198624,No,0
198625,No,0
198626,No,0
198627,No,0
198628,No,0
198629,No,0
198630,Yes,3
198631,No,0
198632,Yes,5
198633,No,0
198634,No,0
198635,No,0
198636,No,0
198637,No,0
198638,No,0
198639,No,0
198640,No,0
198641,Yes,5
198642,No,0
198643,No,0
198644,No,0
198645,Yes,4
198646,Yes,3
198647,No,0
198648,Yes,5
198649,No,0
198650,No,0
198651,Yes,5
198652,No,0
198653,No,0
198654,Yes,3
198655,Yes,5
198656,Yes,3
198657,Yes,4
198658,No,0
198659,No,0
198660,Yes,5
198661,No,0
198662,Yes,3
198663,No,0
198664,Yes,4
198665,No,0
198666,No,0
198667,Yes,3
198668,No,0
198669,No,0
198670,No,0
198671,No,0
198672,No,0
198673,No,0
198674,No,0
198675,Yes,6.5
198676,No,0
198677,Yes,3
198678,No,0
198679,Yes,4
198680,No,0
198681,No,0
198682,No,0
198683,No,0
198684,No,0
198685,Yes,4
198686,No,0
198687,Yes,5
198688,No,0
198689,No,0
198690,No,0
198691,No,0
198692,No,0
198693,No,0
198694,No,0
198695,No,0
198696,No,0
198697,No,0
198698,Yes,5
198699,No,0
198700,No,0
198701,Yes,5
198702,No,0
198703,Yes,3
198704,No,0
198705,No,0
198706,No,0
198707,No,0
198708,No,0
198709,Yes,4
198710,No,0
198711,No,0
198712,No,0
198713,No,0
198714,No,0
198715,No,0
198716,Yes,5
198717,Yes,5
198718,Yes,5
198719,No,0
198720,Yes,4
198721,No,0
198722,No,0
198723,Yes,3
198724,No,0
198725,No,0
198726,No,0
198727,No,0
198728,No,0
198729,No,0
198730,No,0
198731,Yes,3
198732,No,0
198733,No,0
198734,No,0
198735,Yes,3
198736,No,0
198737,Yes,4
198738,Yes,4
198739,No,0
198740,No,0
198741,No,0
198742,No,0
198743,No,0
198744,Yes,5
198745,Yes,5
198746,No,0
198747,No,0
198748,Yes,3
198749,Yes,5
198750,Yes,5
198751,No,0
198752,Yes,5
198753,No,0
198754,No,0
198755,No,0
198756,Yes,5
198757,Yes,5
198758,No,0
198759,No,0
198760,No,0
198761,Yes,4
198762,No,0
198763,Yes,5
198764,No,0
198765,No,0
198766,No,0
198767,Yes,4
198768,No,0
198769,No,0
198770,Yes,3
198771,No,0
198772,No,0
198773,No,0
198774,Yes,3
198775,No,0
198776,No,0
198777,Yes,4
198778,No,0
198779,No,0
198780,No,0
198781,Yes,3
198782,No,0
198783,Yes,3
198784,No,0
198785,No,0
198786,Yes,5
198787,No,0
198788,No,0
198789,No,0
198790,No,0
198791,No,0
198792,No,0
198793,Yes,3
198794,No,0
198795,No,0
198796,No,0
198797,Yes,3
198798,Yes,5
198799,No,0
198800,Yes,5
198801,No,0
198802,Yes,5
198803,Yes,4
198804,No,0
198805,Yes,4
198806,No,0
198807,No,0
198808,No,0
198809,No,0
198810,No,0
198811,No,0
198812,No,0
198813,Yes,5
198814,No,0
198815,Yes,5
198816,No,0
198817,Yes,5
198818,No,0
198819,No,0
198820,No,0
198821,Yes,3
198822,No,0
198823,Yes,4
198824,No,0
198825,No,0
198826,No,0
198827,No,0
198828,Yes,3
198829,No,0
198830,Yes,3
198831,No,0
198832,No,0
198833,No,0
198834,Yes,3
198835,Yes,5
198836,No,0
198837,No,0
198838,No,0
198839,No,0
198840,Yes,3
198841,No,0
198842,No,0
198843,Yes,6.5
198844,No,0
198845,No,0
198846,Yes,3
198847,No,0
198848,No,0
198849,Yes,5
198850,No,0
198851,No,0
198852,No,0
198853,No,0
198854,No,0
198855,Yes,4
198856,No,0
198857,Yes,3
198858,No,0
198859,No,0
198860,Yes,4
198861,Yes,5
198862,Yes,5
198863,Yes,3
198864,Yes,4
198865,No,0
198866,No,0
198867,Yes,3
198868,No,0
198869,No,0
198870,No,0
198871,No,0
198872,Yes,4
198873,No,0
198874,Yes,4
198875,Yes,5
198876,Yes,4
198877,Yes,4
198878,No,0
198879,Yes,5
198880,Yes,5
198881,No,0
